,40
Unnamed: 0,8437
age_years,5.2
size,large
weight_kg,34.4
breed_group,mixed
intake_type,stray
days_in_shelter,43
previously_returned,0
medical_needs,none
neutered,1
aggression_score,3.6
anxiety_separation,6.4
reactivity_to_dogs,3.2
energy_level,6.3
training_level,3.6
house_trained,0
first_time_owner,1
household_has_kids,1
household_has_pets,1
home_type,house_rented
has_yard,1
hours_alone_per_day,4.8
adopter_activity_level,10.0
visits_before_adoption,2
met_resident_pets,1
adoption_counseling,0
expectation_score,8.3
energy_mismatch,3.7
size_home_mismatch,0
