,313
Unnamed: 0,6595
age_years,2.1
size,medium
weight_kg,26.3
breed_group,mixed
intake_type,stray
days_in_shelter,41
previously_returned,0
medical_needs,minor
neutered,0
aggression_score,7.6
anxiety_separation,6.7
reactivity_to_dogs,6.7
energy_level,6.2
training_level,3.3
house_trained,0
first_time_owner,0
household_has_kids,0
household_has_pets,1
home_type,apartment
has_yard,0
hours_alone_per_day,3.9
adopter_activity_level,4.9
visits_before_adoption,1
met_resident_pets,1
adoption_counseling,0
expectation_score,7.0
energy_mismatch,1.3
size_home_mismatch,0
