,3
Unnamed: 0,8336
age_years,2.0
size,large
weight_kg,31.8
breed_group,terrier
intake_type,stray
days_in_shelter,21
previously_returned,0
medical_needs,none
neutered,1
aggression_score,2.1
anxiety_separation,3.4
reactivity_to_dogs,2.7
energy_level,6.1
training_level,3.1
house_trained,0
first_time_owner,1
household_has_kids,0
household_has_pets,0
home_type,apartment
has_yard,0
hours_alone_per_day,0.3
adopter_activity_level,8.4
visits_before_adoption,2
met_resident_pets,0
adoption_counseling,1
expectation_score,6.2
energy_mismatch,2.3
size_home_mismatch,1
